Target,ids,date,flag,user,text
0,2202414300,Tue Jun 16 21:45:20 PDT 2009,NO_QUERY,diannepg,@jillygunn awwww! You SHOULDA had a chai!!! Or gelato 
0,2245529834,Fri Jun 19 16:15:49 PDT 2009,NO_QUERY,BlakeLogan,The 2nd gen Ipod shuffle:THE BEST music only mp3 plyr ever I am glad you can still buy them maybe I should stock up? Im sad I washed mine 
4,1823599972,Sat May 16 22:25:11 PDT 2009,NO_QUERY,amilya,@lapcoverz Thank you for joining amilya.com Glad to have you aboard. Tweet in anytime. Have a great weekend 
0,2191337564,Tue Jun 16 05:03:46 PDT 2009,NO_QUERY,stephengradwick,@lisadoods That's where someone we were talking about yesterday lives... 
0,2059008721,Sat Jun 06 16:03:59 PDT 2009,NO_QUERY,Syrihn,bummed that I have to work on the last day my family is in town... 
4,1754402630,Sun May 10 06:08:48 PDT 2009,NO_QUERY,Kauai730,Happy Mothers Day to all you Mothers 
4,1755281232,Sun May 10 08:44:04 PDT 2009,NO_QUERY,erinbethcurtis,mother's day! off to see the family  tweet me?
4,1933033785,Tue May 26 22:49:32 PDT 2009,NO_QUERY,platypustammy,@meliiindaaa thank you  but you know what I'm talking about D:
0,2060119853,Sat Jun 06 18:17:47 PDT 2009,NO_QUERY,tiffanysez,I ate all my Tic Tacs. 
4,1834562674,Mon May 18 03:24:32 PDT 2009,NO_QUERY,melcarson,Ha! @mediadonis @matthewwood http://cli.gs/97L8Ja 
0,2324495555,Thu Jun 25 03:18:06 PDT 2009,NO_QUERY,emmilyxo,@becluvsyou just because. ill tell you about it at school tmr. yes ha i think they were too 
0,1824265087,Sun May 17 00:39:53 PDT 2009,NO_QUERY,Moka89,He's always in my dreams.. I can't sleep.... I miss him 
4,1880136069,Fri May 22 00:12:47 PDT 2009,NO_QUERY,benj38,i have to revised my BAC! SO fun 
0,2188322777,Mon Jun 15 21:41:19 PDT 2009,NO_QUERY,GriffinAsher,My #socnoc story is fighting me  Need a whip to get it back into shape. Or perhaps something alcoholic.
0,2004693434,Tue Jun 02 08:35:48 PDT 2009,NO_QUERY,marles1017,@deeksy19 I can't believe you love him... (shaking my head)  boo hiss on that!
4,1468335595,Tue Apr 07 01:02:44 PDT 2009,NO_QUERY,tsarnick,"@MissxMarisa cool, listening to them now thanks!! "
0,1680093346,Sat May 02 10:53:15 PDT 2009,NO_QUERY,MrsHoskins,@crabbyknickers I want to ban food talk...am on a diet 
4,1827641197,Sun May 17 11:08:21 PDT 2009,NO_QUERY,nefretiriii,"Hello Boston, long time no see "
0,2233220819,Thu Jun 18 21:00:39 PDT 2009,NO_QUERY,Zygee,"I need somebody i can trust, i'm feeling like crap. "
0,2071386683,Sun Jun 07 19:18:48 PDT 2009,NO_QUERY,b0oRadley,I seriously fear that reading Paris Hilton's tweets is doing serious damage to my IQ 
0,2045246964,Fri Jun 05 10:27:01 PDT 2009,NO_QUERY,kamilszwed,hell yeah TGIF but im on-call 
0,2258477356,Sat Jun 20 15:59:31 PDT 2009,NO_QUERY,CraiovaTweet,declar examenul de maine cel mai nenorocit examen din istoria examenelor... 
0,2263649552,Sun Jun 21 01:24:31 PDT 2009,NO_QUERY,mymovees,http://mymovees.com Comment on Watch Year One by FIG: don't have it yet  http://tinyurl.com/ntfm3u
0,1694195779,Mon May 04 01:30:49 PDT 2009,NO_QUERY,xabierr,Kind of annoying that my mac died upon finally starting up and I brought Steve today for nothing 
4,1835488018,Mon May 18 06:06:20 PDT 2009,NO_QUERY,ekdt,~working out &amp; cleaning the house for a bit. ** Hoping to get the call for the job! 
4,1880525105,Fri May 22 01:33:15 PDT 2009,NO_QUERY,rocel1214,done uploading pics 
0,1686448284,Sun May 03 05:28:50 PDT 2009,NO_QUERY,Albino_Midget_,@Ashishstar yaayy you have! i cant believe sat night that was a disaster... so glad i didn't go!! 
0,2217454268,Wed Jun 17 20:53:35 PDT 2009,NO_QUERY,frugaldoogal,"@anthony_HW We had a short, hard rain in Bellevue... clear now   I was diggin' the rain."
0,1964642996,Fri May 29 14:33:59 PDT 2009,NO_QUERY,JanaiChristian,Cough drops taste gross...blaaaqhhh 
0,2232523315,Thu Jun 18 20:01:45 PDT 2009,NO_QUERY,AlexaNDYE,@GreenDefender Yes.. i did Jailbreak lol. Maybe that's the reason why.  i wanted video recording and editing... *cries* Dx
0,2069064938,Sun Jun 07 15:11:51 PDT 2009,NO_QUERY,twisteddspirit,Is sitting at home bored. 
0,2003717253,Tue Jun 02 07:01:43 PDT 2009,NO_QUERY,heyoliviaaaa,@heymonday why aren't you coming to San Diego?! we love you here 
0,2236231898,Fri Jun 19 03:10:34 PDT 2009,NO_QUERY,perplect,And there might be a thunderstorm coming up. 
0,1963144260,Fri May 29 12:16:16 PDT 2009,NO_QUERY,KATIE_MBT,@Alexa997 Isnt it only like 3 episodes though? Sad 
0,2263150198,Sun Jun 21 00:04:32 PDT 2009,NO_QUERY,roxem,@PlezurE I will! Have to wait til august tho   2 MORE MONTHS!!!
4,1825483540,Sun May 17 05:51:43 PDT 2009,NO_QUERY,ChadSuhan,I'm going to sleep. Catch till tommorow 
4,1551489462,Sat Apr 18 09:11:34 PDT 2009,NO_QUERY,chiniehdiaz,"@flimgeeks Hang on, will find the story again - tho I get irritated every time I see it "
0,2202314325,Tue Jun 16 21:35:16 PDT 2009,NO_QUERY,burnabiz,@doolamcfly awww  Maybe ill make a neww one who knows haha
4,1834759336,Mon May 18 04:06:30 PDT 2009,NO_QUERY,iudaea,@magnezi Indeed. It's always a good idea to  mix number crunching with beer 
0,2258621328,Sat Jun 20 16:13:26 PDT 2009,NO_QUERY,davecooper,"got drunk with the merkowitzes and started to talk a lot, and then they all left me. I feel like it was my fault "
0,2206028692,Wed Jun 17 05:52:54 PDT 2009,NO_QUERY,deenalogsdon,Had a terrible workout this morning - new instructor and now am off to an all day class. 
0,1972665377,Sat May 30 09:39:17 PDT 2009,NO_QUERY,missnita2005,OMG I totally just dropped a glass centerpiece in walmart and ran  it was an accident!!! Lol
0,2216055310,Wed Jun 17 18:58:53 PDT 2009,NO_QUERY,cizzln,@Kristodynamics so I just #squarespace checked again... and apparently even with all of my chweeting my stats haven't changed 
0,2003172554,Tue Jun 02 06:01:33 PDT 2009,NO_QUERY,googlygoogly,supposedly they found plane debris 
0,2002525470,Tue Jun 02 04:28:00 PDT 2009,NO_QUERY,myuslan,@WMaldives @lirar its raining now ......  well its drizzling at least
4,1695376396,Mon May 04 05:58:58 PDT 2009,NO_QUERY,horscraze7x3,this is my second to last biology and the first time that i have ever been on time. Haha. 
0,1676283502,Fri May 01 21:35:44 PDT 2009,NO_QUERY,okie1701,Ha! @infinidem It's a bunch.1200 this week but it's by choice. Contract ends next month so I want to say 'bye and make sure all is well. 
4,1956245782,Thu May 28 21:28:34 PDT 2009,NO_QUERY,Laatina,jus stopped at sonic for a drink...drivin down tha hwy tired as hell...tweeting yall 
0,2189428509,Tue Jun 16 00:00:34 PDT 2009,NO_QUERY,LaPortena,Missing my grandma soo much... 
0,2221713798,Thu Jun 18 05:52:53 PDT 2009,NO_QUERY,xianvox,has nets again.  Hurray nets.  Boo strained wrists.  Major flyer to finish up and I can only work an hour at a time on it.  
0,1565531896,Mon Apr 20 06:58:49 PDT 2009,NO_QUERY,ShielaA,Having trouble staying asleep. It's so hot and I'm exhausted 
0,1751242170,Sat May 09 18:59:47 PDT 2009,NO_QUERY,goaliedude135,it certainly seems like it... its making me sad... i have nothing else to do in canada... and my bff talks to me once in a while  
4,1835547770,Mon May 18 06:14:22 PDT 2009,NO_QUERY,anjamall,@RehmaH P.S I like urdu tweets ( i cudnt fi it into teh previous one  )
0,2251532802,Sat Jun 20 03:48:38 PDT 2009,NO_QUERY,zoefairhurst,"@CamillaKelly @laurakconnolly  she's put some photos on kesmoodle, just not ours  haha"
4,1792796010,Thu May 14 00:16:26 PDT 2009,NO_QUERY,AmandaWadsley,@toppy84 cus you dont wanna be a hobo with no education  x
0,2264009301,Sun Jun 21 02:29:40 PDT 2009,NO_QUERY,therealjoshross,"@amien00dz No, I'm not that awesome "
4,1678944250,Sat May 02 08:08:15 PDT 2009,NO_QUERY,andikuhn,@Ash_Faye_Photo how about a five month old? 
0,1976317965,Sat May 30 17:03:57 PDT 2009,NO_QUERY,MagicalMillie,@ryrou no...sadly 
4,1694240308,Mon May 04 01:43:01 PDT 2009,NO_QUERY,Hargarmoopy,Remind me to get out &amp; take a pic of my blooming clematis before the wind storm tomorrow. 
0,1880988610,Fri May 22 03:12:39 PDT 2009,NO_QUERY,smamie,hello again twitter. sur �ver att apan vann i american idol 
0,1835293849,Mon May 18 05:38:54 PDT 2009,NO_QUERY,jblankenburg,rainy and cold is not how I imagined my trip to the ocean.  
0,1933009294,Tue May 26 22:45:40 PDT 2009,NO_QUERY,kiz8thegriz8,@COPYWRITE sendin some love your way!! missin fam is never fun 
0,1956176608,Thu May 28 21:20:15 PDT 2009,NO_QUERY,ChermanTShing,"I feel like the night is still young, but it's also too late to go do anything. I'm so bored; I don't know what to do with myself! hahaha "
0,2203852395,Wed Jun 17 00:41:35 PDT 2009,NO_QUERY,Fibobo,"Too many tweets about chocolate biscuits, if I had a car I'd totally do a biccie run, but I don't "
0,2175539351,Mon Jun 15 01:16:22 PDT 2009,NO_QUERY,taufiqz,Gotta clean up my room and do homework now 
4,1792668738,Wed May 13 23:51:13 PDT 2009,NO_QUERY,2tamtam,@thelotusgarden aaaah she's here!    Now I can get updates from your cell saying things like : thelotusgarden is taking a ghost poo!  LOL
0,2187364018,Mon Jun 15 20:10:24 PDT 2009,NO_QUERY,staceyswann,"@CaitPoland  hey sorry i havnt been able to talk all day  i was at work,&amp;now my screenname wont sign on.but i need to study.quiz tomorrow"
0,1936047650,Wed May 27 07:21:34 PDT 2009,NO_QUERY,vatark,@dollycharlincs It's persisting down 
0,1970921085,Sat May 30 05:39:59 PDT 2009,NO_QUERY,AnjaliKnebworth,has missed an appointment with a friend because she forgot her phone  How did we use to get along before?
4,1833885584,Mon May 18 00:48:48 PDT 2009,NO_QUERY,curlywilliams,"Happy Monday,everyone!Let's hope it's nice and productive! "
0,2242563647,Fri Jun 19 12:20:51 PDT 2009,NO_QUERY,rwdave,"Last day off today, back to work on monday... "
0,1989748389,Mon Jun 01 02:40:13 PDT 2009,NO_QUERY,RoseIngleton,packing up to leave london for summer 
0,2221959366,Thu Jun 18 06:16:42 PDT 2009,NO_QUERY,3freebees,bloody rain 
0,2016534349,Wed Jun 03 06:56:43 PDT 2009,NO_QUERY,Queenkathi,make a project  about Germany an France .-!
0,1997114532,Mon Jun 01 16:16:45 PDT 2009,NO_QUERY,pamelakayla,is burnt from the lake 
